epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,12337,0.84353,1.20468,0.43905,0.95893,0.81248,0.73918,0.78978,0.53235,0.81984,0.72984,0.78544,0.45434,1.22376,1.89926,0.77105,1.24455,0.0003962,0.0003962,0.0003962
83,12487.8,0.84376,1.21873,0.44117,0.96223,0.78425,0.75387,0.79127,0.53154,0.78168,0.73998,0.78401,0.45076,1.23185,1.90377,0.78194,1.23918,0.0003764,0.0003764,0.0003764
84,12638.4,0.83718,1.20106,0.43765,0.95829,0.81621,0.72886,0.78685,0.52929,0.80674,0.72291,0.77695,0.45056,1.22217,1.95018,0.76534,1.24207,0.0003566,0.0003566,0.0003566
85,12789.1,0.83879,1.19288,0.43593,0.96106,0.78308,0.75813,0.78988,0.53161,0.78833,0.74315,0.78143,0.45087,1.22831,1.96662,0.76701,1.25082,0.0003368,0.0003368,0.0003368
86,12939.7,0.82354,1.1781,0.43003,0.95483,0.79363,0.74348,0.78625,0.52981,0.78431,0.73601,0.77956,0.44986,1.22655,1.95447,0.7735,1.24696,0.000317,0.000317,0.000317
87,13090.3,0.82101,1.15946,0.42491,0.95673,0.80708,0.73573,0.78218,0.52581,0.81045,0.71967,0.77324,0.44492,1.23142,1.97015,0.77635,1.25091,0.0002972,0.0002972,0.0002972
88,13241.1,0.80552,1.16375,0.41541,0.94691,0.81309,0.7322,0.78756,0.53129,0.81474,0.72648,0.78422,0.45428,1.2333,1.94762,0.76868,1.25659,0.0002774,0.0002774,0.0002774
89,13391.8,0.79959,1.15303,0.41454,0.94575,0.80644,0.74923,0.79002,0.52985,0.79826,0.73799,0.7784,0.44795,1.23653,1.94618,0.7745,1.25418,0.0002576,0.0002576,0.0002576
90,13542.6,0.81064,1.16945,0.42052,0.95019,0.81044,0.74001,0.79013,0.53027,0.80683,0.73362,0.78159,0.45034,1.23446,1.94844,0.76789,1.26036,0.0002378,0.0002378,0.0002378
91,13694.2,0.77754,1.12586,0.39238,0.93465,0.81123,0.7241,0.78078,0.52592,0.80832,0.72052,0.77478,0.44961,1.24651,1.97532,0.76427,1.27552,0.000218,0.000218,0.000218
92,13844.4,0.77128,1.11107,0.38464,0.94332,0.79146,0.74732,0.78873,0.53332,0.83592,0.70782,0.78478,0.45293,1.23206,2.00222,0.76034,1.25863,0.0001982,0.0001982,0.0001982
93,13994.2,0.76067,1.11811,0.38518,0.93245,0.82383,0.73998,0.79096,0.53671,0.82765,0.73013,0.79044,0.46205,1.22884,1.94454,0.75819,1.25209,0.0001784,0.0001784,0.0001784
94,14144.9,0.75151,1.08099,0.36959,0.92727,0.81806,0.74117,0.791,0.53753,0.81455,0.73799,0.78966,0.45994,1.22414,1.96156,0.76568,1.25575,0.0001586,0.0001586,0.0001586
95,14294.9,0.75134,1.08191,0.37488,0.93292,0.80483,0.75308,0.79003,0.53247,0.80192,0.74553,0.78253,0.45354,1.2262,1.96939,0.77167,1.26295,0.0001388,0.0001388,0.0001388
96,14444.9,0.7366,1.07129,0.36622,0.92517,0.81672,0.73998,0.79104,0.53264,0.82894,0.71933,0.78133,0.45295,1.23606,1.9986,0.77073,1.26893,0.000119,0.000119,0.000119
97,14594.9,0.74162,1.09352,0.37807,0.93137,0.80312,0.75149,0.79152,0.53593,0.79676,0.74553,0.7855,0.45284,1.22586,1.97746,0.76931,1.26079,9.92e-05,9.92e-05,9.92e-05
98,14744.8,0.72202,1.04722,0.35557,0.91926,0.81079,0.74633,0.79098,0.53588,0.81224,0.73402,0.78674,0.45567,1.22399,1.97759,0.75408,1.26433,7.94e-05,7.94e-05,7.94e-05
99,14894.9,0.72214,1.04815,0.35783,0.92078,0.80269,0.74934,0.79122,0.53576,0.79888,0.74514,0.78587,0.45663,1.22963,2.00119,0.76375,1.2698,5.96e-05,5.96e-05,5.96e-05
100,15044.8,0.71578,1.05395,0.36007,0.91595,0.81621,0.73694,0.79022,0.5355,0.8175,0.7241,0.78389,0.45642,1.23469,2.01187,0.77012,1.27062,3.98e-05,3.98e-05,3.98e-05
